"cc_lv","cc_av","pav_lv","pav_av","av_lv","av_av","nc","nv","g","p","phi","l","k"
1500,1500,2955.84999999997,3090.65000000002,5972,6014,24,1500,2,0.5,0,1,8
1500,758,2954.89999999998,2060.13571428572,5968,6064,24,1500,2,0.5,0,1,8
1500,766,3094.70000000002,2081.87857142858,6032,6128,24,1500,2,0.5,0,1,8
1500,1500,2960.59999999997,3086.60000000001,5992,5996,24,1500,2,0.5,0,1,8
1500,1500,3087.50000000002,2962.49999999997,6000,6000,24,1500,2,0.5,0,1,8
1500,764,3081.20000000002,2076.44285714287,5972,6112,24,1500,2,0.5,0,1,8
1500,761,2712.16428571429,2068.28928571429,6066,6088,24,1500,2,0.5,0,1,8
1500,765,3094.25000000002,2079.16071428572,6030,6120,24,1500,2,0.5,0,1,8
1500,764,2949.19999999998,2076.44285714287,5944,6112,24,1500,2,0.5,0,1,8
1500,753,3088.85000000002,2046.54642857144,6006,6024,24,1500,2,0.5,0,1,8
1500,759,2708.97857142858,2062.85357142858,6054,6072,24,1500,2,0.5,0,1,8
1500,759,3091.55000000001,2062.85357142858,6018,6072,24,1500,2,0.5,0,1,8
1500,796,2767.91428571429,2163.41428571429,6276,6368,24,1500,2,0.5,0,1,8
1500,756,3125.00000000005,2054.70000000001,6000,6048,24,1500,2,0.5,0,1,8
1500,754,3089.30000000002,2049.26428571429,6008,6032,24,1500,2,0.5,0,1,8
1500,755,3089.75000000002,2051.98214285715,6010,6040,24,1500,2,0.5,0,1,8
1500,755,2967.24999999997,2051.98214285715,6020,6040,24,1500,2,0.5,0,1,8
1500,777,2988.14999999997,2111.77500000001,6108,6216,24,1500,2,0.5,0,1,8
1500,776,3099.20000000001,2109.05714285715,6052,6208,24,1500,2,0.5,0,1,8
1500,1500,2960.59999999997,3088.40000000002,5992,6004,24,1500,2,0.5,0,1,8
1500,761,2952.04999999997,2068.28928571429,5956,6088,24,1500,2,0.5,0,1,8
1500,762,2973.89999999997,2071.00714285715,6048,6096,24,1500,2,0.5,0,1,8
1500,1500,2935.89999999998,2739.24285714287,5888,6168,24,1500,2,0.5,0,1,8
1500,1500,2941.59999999997,2941.59999999997,5912,5912,24,1500,2,0.5,0,1,8
1500,760,3125.00000000005,2065.57142857144,6000,6080,24,1500,2,0.5,0,1,8
1500,764,3081.20000000002,2076.44285714287,5972,6112,24,1500,2,0.5,0,1,8
1500,754,2966.29999999997,2049.26428571429,6016,6032,24,1500,2,0.5,0,1,8
1500,1500,3072.65000000002,3102.35000000001,5934,6066,24,1500,2,0.5,0,1,8
1500,775,3076.25000000002,2106.33928571429,5950,6200,24,1500,2,0.5,0,1,8
1500,767,2721.72142857144,2084.59642857144,6102,6136,24,1500,2,0.5,0,1,8
1500,765,3094.25000000002,2079.16071428572,6030,6120,24,1500,2,0.5,0,1,8
1500,752,3088.40000000001,2043.82857142858,6004,6016,24,1500,2,0.5,0,1,8
1500,1500,2642.07857142858,2642.07857142858,5802,5802,24,1500,2,0.5,0,1,8
1500,1500,2934.94999999997,3125.00000000005,5884,6000,24,1500,2,0.5,0,1,8
1500,771,3125.00000000005,2095.46785714287,6000,6168,24,1500,2,0.5,0,1,8
1500,754,2966.29999999997,2049.26428571429,6016,6032,24,1500,2,0.5,0,1,8
1500,752,3125.00000000005,2043.82857142858,6000,6016,24,1500,2,0.5,0,1,8
1500,764,3081.20000000002,2076.44285714287,5972,6112,24,1500,2,0.5,0,1,8
1500,1500,3074.45000000001,3100.55000000002,5942,6058,24,1500,2,0.5,0,1,8
1500,1500,3125.00000000005,2970.09999999997,6000,6032,24,1500,2,0.5,0,1,8
1500,764,3093.80000000002,2076.44285714287,6028,6112,24,1500,2,0.5,0,1,8
1500,751,3087.95000000002,2041.11071428572,6002,6008,24,1500,2,0.5,0,1,8
1500,774,3098.30000000002,2103.62142857144,6048,6192,24,1500,2,0.5,0,1,8
1500,758,3091.10000000002,2060.13571428572,6016,6064,24,1500,2,0.5,0,1,8
1500,1500,2956.79999999998,2704.20000000001,5976,6036,24,1500,2,0.5,0,1,8
1500,1500,2651.63571428572,3075.35000000002,5838,5946,24,1500,2,0.5,0,1,8
1500,1500,2669.15714285715,2947.29999999998,5904,5936,24,1500,2,0.5,0,1,8
1500,757,3084.35000000002,2057.41785714287,5986,6056,24,1500,2,0.5,0,1,8
